* Site   Longitude  Latitude   Ve   dVe    Vn   dVn   Cen      Vu  dVu  (mm/yr)
BUST_CGP -116.4509   36.7453  -3.10 0.10   0.56 0.10  0.000  -0.10 0.10
BVPP_CGP -119.3475   35.1573 -17.01 0.10  13.80 0.10  0.000  -0.10 0.20
CCCC_CGP -117.6712   35.5653  -8.16 0.10   9.31 0.10  0.000  -0.10 0.10
CHLO_CGP -116.7655   36.7465  -3.23 0.10   0.95 0.10  0.000  -0.10 0.20
CNPP_CGP -117.6089   33.8576 -23.81 0.10  24.30 0.10  0.000  -0.10 0.10
GLRS_CGP -115.5214   33.2748  -5.44 0.10   1.78 0.10  0.000  -0.10 0.10
GMPK_CGP -114.8273   33.0511  -2.43 0.10   1.68 0.10  0.000  -0.10 0.10
HELL_CGP -116.9792   36.7236  -3.76 0.10   1.51 0.10  0.000  -0.10 0.40
JOHN_CGP -116.0990   36.4588  -2.82 0.10   0.35 0.10  0.000  -0.10 0.20
MAT2_CGP -117.4367   33.8568 -22.99 0.10  24.05 0.10  0.000  -0.10 0.10
MLFP_CGP -117.3180   33.9184 -22.17 0.10  23.21 0.10  0.000  -0.10 0.10
OCSD_CGP -117.3467   33.2407 -27.21 0.10  27.52 0.10  0.000  -0.10 0.30
OPBL_CGP -115.9181   34.3699  -2.24 0.10   1.80 0.10  0.000  -0.10 0.10
P476_CGP -117.1897   33.4396 -25.55 0.10  25.57 0.10  0.000  -0.10 0.10
P607_CGP -115.8207   33.7410  -6.07 0.10   3.87 0.10  0.000  -0.10 0.10
P616_CGP -117.8933   35.4246  -8.81 0.10  10.18 0.10  0.000  -0.10 0.10
P622_CGP -115.3659   35.1630  -3.03 0.10   0.24 0.10  0.000  -0.10 0.10
P811_CGP -118.0166   35.1524  -8.68 0.10  12.51 0.10  0.000  -0.10 0.30
P812_CGP -118.0165   35.1525  -8.38 0.20  12.11 0.20  0.000  -0.10 0.30
PERL_CGP -116.6864   36.9018  -3.19 0.10   0.73 0.10  0.000  -0.10 0.10
STRI_CGP -116.3378   36.6446  -2.91 0.10   0.62 0.10  0.000  -0.10 0.10
WHYT_CGP -117.6435   33.6745 -25.55 0.10  26.61 0.10  0.000  -0.10 0.10
AGMT_CGP -116.4294   34.5943  -7.04 0.10   6.75 0.10  0.000   0.10 0.10
BEMT_CGP -115.9982   34.0005  -4.93 0.10   4.63 0.10  0.000   0.10 0.10
BLYT_CGP -114.7148   33.6104  -2.40 0.10   0.75 0.10  0.000   0.10 0.10
BTDM_CGP -118.1882   34.2928 -24.17 0.10  21.76 0.10  0.000   0.10 0.10
BULL_CGP -116.8717   36.9176  -3.31 0.10   0.98 0.10  0.000   0.10 0.10
CIRX_CGP -118.9373   34.1096 -28.38 0.10  29.28 0.10  0.000   0.10 0.10
CLAR_CGP -117.7088   34.1099 -23.16 0.10  21.43 0.10  0.000   0.10 0.10
CSCI_CGP -119.0390   34.1684 -28.68 0.10  29.71 0.10  0.000   0.10 0.10
ECCO_CGP -118.3290   33.8868 -26.67 0.10  28.40 0.20  0.000   0.10 0.40
HCMN_CGP -116.4301   34.7548  -7.31 0.10   3.85 0.10  0.000   0.10 0.10
JPLM_CGP -118.1732   34.2048 -24.99 0.10  22.76 0.10  0.000   0.10 0.10
LORS_CGP -117.7541   34.1333 -23.46 0.10  21.14 0.10  0.000   0.10 0.10
MPWD_CGP -118.8780   34.2955 -27.63 0.10  28.16 0.10  0.000   0.10 0.10
MRDM_CGP -117.8817   34.1752 -23.86 0.10  20.98 0.10  0.000   0.10 0.20
NHRG_CGP -119.1413   34.4987 -26.52 0.10  22.54 0.10  0.000   0.10 0.10
ORMT_CGP -116.8151   34.6749 -10.56 0.10   9.76 0.10  0.000   0.10 0.10
OXYC_CGP -118.2073   34.1288 -25.70 0.10  23.17 0.10  0.000   0.10 0.10
P003_CGP -114.0050   32.7225  -2.84 0.10   0.73 0.10  0.000   0.10 0.10
P180_CGP -121.4032   36.2928 -27.90 0.10  34.07 0.10  0.000   0.10 0.10
P232_CGP -121.5790   36.7240 -27.74 0.10  33.52 0.10  0.000   0.10 0.10
